SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
AR-Bal,Balcarce BA,Argentina,Buenos Aires,CRO,2012,2013,https://ameriflux.lbl.gov/sites/siteinfo/AR-Bal,-37.7596,-58.3024,130.0,Cfb,14.0,926.0,LEGACY,2012,2013
AR-CCa,Carlos Casares agriculture,Argentina,Buenos Aires,CRO,2012,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/AR-CCa,-35.621,-61.3181,83.0,Cfa,16.1,1060.0,CCBY4.0,2012,2020
AR-CCg,Carlos Casares grassland,Argentina,Buenos Aires,GRA,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/AR-CCg,-35.9244,-61.1855,84.0,Cfa,16.1,1060.0,CCBY4.0,2018,2020
AR-Cel,CELPA Mar Chiquita BA,Argentina,Buenos Aires,WET,2018,2018,https://ameriflux.lbl.gov/sites/siteinfo/AR-Cel,-37.7028,-57.4192,1.0,Cfb,14.0,926.0,LEGACY,2018,2018
AR-Rom,Romano Mar Chiquita BA,Argentina,Buenos Aires,WET,2014,2015,https://ameriflux.lbl.gov/sites/siteinfo/AR-Rom,-37.5508,-57.2972,1.0,Cfb,14.0,926.0,LEGACY,2014,2015
AR-TF1,Rio Moat bog,Argentina,NA_character_,WET,2016,2018,https://ameriflux.lbl.gov/sites/siteinfo/AR-TF1,-54.9733,-66.7335,40.0,NA_character_,,,CCBY4.0,2016,2018
AR-TF2,Rio Pipo bog,Argentina,NA_character_,WET,2016,2018,https://ameriflux.lbl.gov/sites/siteinfo/AR-TF2,-54.8269,-68.4549,60.0,NA_character_,5.5,530.0,CCBY4.0,2016,2018
BR-Cax,"CAX, FLONA Caxiuanã micromet tower",Brazil,Pará,EBF,2005,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Cax,-1.7185,-51.4583,48.4,Af,26.0,2500.0,CCBY4.0,-2147483648,-2147483648
BR-CMT,Capuaba farm Mato Grosso,Brazil,Mato Grosso,CRO,2015,2019,https://ameriflux.lbl.gov/sites/siteinfo/BR-CMT,-13.2875,-56.0882,427.0,Aw,26.8,1566.0,LEGACY,-2147483648,-2147483648
BR-CST,Caatinga Serra Talhada,Brazil,Pernambuco,DNF,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-CST,-7.9682,-38.3842,468.0,Bsh,25.2,642.0,CCBY4.0,2014,2015
BR-Cui,Micrometeorological studies project in Amazonian mangroves,Brazil,NA_character_,WET,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Cui,-0.6661,-47.2833,21.0,Am,26.4,457.2,LEGACY,-2147483648,-2147483648
BR-CUP,Cupari Tapajos National Forest,Brazil,Pará,DBF,2024,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-CUP,-3.7874,-55.3664,15.0,Af,25.0,1900.0,LEGACY,-2147483648,-2147483648
BR-IAB,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,Brazil,São Paulo,WSA,2018,2021,https://ameriflux.lbl.gov/sites/siteinfo/BR-IAB,-22.171,-47.871,763.0,Cwa,21.6,1486.0,LEGACY,-2147483648,-2147483648
BR-Ji1,Fazenda Nossa Senhora (FNS),Brazil,Rondônia,GRA,1999,2010,https://ameriflux.lbl.gov/sites/siteinfo/BR-Ji1,-10.7618,-62.3572,260.0,Af,,,CCBY4.0,-2147483648,-2147483648
BR-Ji3,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),Brazil,Rondônia,EBF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Ji3,-10.1866,-61.8725,160.0,Am,21.0,,CCBY4.0,-2147483648,-2147483648
BR-Ma2,Manaus - ZF2 K34,Brazil,Amazonas,EBF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Ma2,-2.6091,-60.2093,130.0,Af,26.68,2252.0,CCBY4.0,-2147483648,-2147483648
BR-Ma3,"ZF3, Colosso farm",Brazil,Amazonas (Brazil),CVM,2008,2018,https://ameriflux.lbl.gov/sites/siteinfo/BR-Ma3,-2.3907,-59.8835,147.0,Af,29.0,2792.0,CCBY4.0,-2147483648,-2147483648
BR-Moj,"Moju/PA, Commercial oil palm plantation",Brazil,Pará,CVM,2015,2022,https://ameriflux.lbl.gov/sites/siteinfo/BR-Moj,-1.9787,-48.6147,26.0,Af,25.5,2500.0,CCBY4.0,-2147483648,-2147483648
BR-Npw,Northern Pantanal Wetland,Brazil,Mato Grosso,WSA,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Npw,-16.498,-56.412,120.0,Aw,24.9,1486.0,CCBY4.0,2013,2017
BR-PRS,Paraíso do Sul,Brazil,Rio Grande do Sul,CRO,2003,2004,https://ameriflux.lbl.gov/sites/siteinfo/BR-PRS,-29.744,-53.1503,,Cfa,21.0,1500.0,LEGACY,-2147483648,-2147483648
BR-Sa1,Santarem-Km67-Primary Forest,Brazil,NA_character_,EBF,2002,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-Sa1,-2.8567,-54.9589,88.0,Am,26.13,2074.79,CCBY4.0,2002,2011
BR-Sa3,Santarem-Km83-Logged Forest,Brazil,NA_character_,EBF,2000,2003,https://ameriflux.lbl.gov/sites/siteinfo/BR-Sa3,-3.018,-54.9714,100.0,Am,26.12,2043.77,CCBY4.0,2000,2004
BR-SGC,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",Brazil,Amazonas (Brazil),EBF,2004,2010,https://ameriflux.lbl.gov/sites/siteinfo/BR-SGC,0.2101,-66.7529,100.0,Af,27.0,3000.0,CCBY4.0,-2147483648,-2147483648
BR-SP1,Southern Pantanal Wetland,Brazil,Mato Grosso do Sul,WSA,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/BR-SP1,-19.565,-57.018,90.0,Aw,25.0,850.0,LEGACY,-2147483648,-2147483648
CA-AF1,Acadia Research Forest,Canada,Nova Scotia,MF,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-AF1,46.0092,-66.3627,78.0,Dfb,5.6,1078.0,CCBY4.0,-2147483648,-2147483648
CA-ARB,Attawapiskat River Bog,Canada,Ontario,WET,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-ARB,52.695,-83.9452,90.0,Dfb,-1.3,700.0,CCBY4.0,2011,2015
CA-ARF,Attawapiskat River Fen,Canada,Ontario,WET,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-ARF,52.7008,-83.955,88.0,Dfb,-1.3,700.0,CCBY4.0,2011,2015
CA-BOU,Bouleau Peatland,Canada,Quebec,WET,2018,2020,https://ameriflux.lbl.gov/sites/siteinfo/CA-BOU,50.5244,-63.2064,108.0,Cwc,1.5,1011.0,CCBY4.0,2018,2020
CA-Ca1,British Columbia - 1949 Douglas-fir stand,Canada,NA_character_,ENF,1997,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-Ca1,49.8673,-125.3336,300.0,Cfb,9.93,1369.0,CCBY4.0,1996,2010
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),Canada,NA_character_,ENF,2000,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-Ca2,49.8705,-125.2909,300.0,Cfb,9.86,1474.0,CCBY4.0,1999,2010
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,Canada,NA_character_,ENF,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-Ca3,49.5346,-124.9004,,Cfb,9.94,1676.0,CCBY4.0,2001,2022
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",Canada,NA_character_,DBF,1995,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-Cbo,44.3167,-79.9333,120.0,Dfb,6.66,876.34,CCBY4.0,1994,2020
CA-CF1,Churchill Fen Site 1,Canada,Manitoba,WET,2007,2008,https://ameriflux.lbl.gov/sites/siteinfo/CA-CF1,58.6658,-93.83,16.5,Dfc,-6.5,452.0,CCBY4.0,2007,2008
CA-CF2,Churchill Fen Site 2,Canada,Manitoba,WET,2008,2011,https://ameriflux.lbl.gov/sites/siteinfo/CA-CF2,58.6658,-93.83,16.5,Dfc,-6.5,452.0,CCBY4.0,2008,2011
CA-CF3,Churchill Fen Site 3,Canada,Manitoba,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-CF3,58.6658,-93.8304,25.0,Dfc,,,CCBY4.0,2022,2023
CA-Cha,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),Canada,NA_character_,MF,2004,2005,https://ameriflux.lbl.gov/sites/siteinfo/CA-Cha,45.8847,-67.3569,341.0,Dfb,3.46,971.68,CCBY4.0,2004,2005
CA-DB2,Delta Burns Bog 2,Canada,British Columbia,WET,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-DB2,49.119,-122.9951,4.0,NA_character_,,,CCBY4.0,2019,2020
CA-DBB,Delta Burns Bog,Canada,British Columbia,WET,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-DBB,49.1293,-122.9849,4.0,Csb,10.0,1128.0,CCBY4.0,2014,2020
CA-DL1,Daring Lake - Mixed Tundra,Canada,NA_character_,OSH,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-DL1,64.8689,-111.5748,425.0,Dfc,-9.0,250.0,CCBY4.0,-2147483648,-2147483648
CA-DL2,Daring Lake - Fen,Canada,NA_character_,WET,2006,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-DL2,64.8648,-111.5677,416.0,Dfc,-9.0,250.0,CCBY4.0,-2147483648,-2147483648
CA-DSM,Delta Salt Marsh,Canada,British Columbia,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-DSM,49.0887,-122.8954,,Csb,10.6,1077.8,CCBY4.0,2022,2022
CA-EM1,Newdale Manitoba,Canada,Manitoba,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-EM1,50.3623,-100.2024,607.9,Dfb,1.3,504.8,CCBY4.0,2021,2023
CA-EM2,Shoal Lake Manitoba,Canada,Manitoba,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-EM2,50.3706,-100.5339,554.3,Dfb,1.5,473.4,CCBY4.0,2021,2023
CA-EM3,Oak Hammock Marsh Manitoba,Canada,Manitoba,WET,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-EM3,50.1738,-97.1231,255.0,Dfb,3.0,521.1,CCBY4.0,-2147483648,-2147483648
CA-ER1,Elora Research Station,Canada,Ontario,CRO,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/CA-ER1,43.6405,-80.4123,370.0,Dfb,6.7,946.0,CCBY4.0,2015,2021
