date,datatype,station,attributes,value
2023-01-01T00:00:00,PRCP,GHCND:CA006020559,",,C,",0
2023-01-01T00:00:00,SNOW,GHCND:CA006020559,",,C,",0
2023-01-01T00:00:00,SNWD,GHCND:CA006020559,",,C,",310
2023-01-01T00:00:00,TAVG,GHCND:CA006020559,",,C,",-50
2023-01-01T00:00:00,TMAX,GHCND:CA006020559,",,C,",-40
2023-01-01T00:00:00,TMIN,GHCND:CA006020559,",,C,",-60
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0004,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0004,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0031,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0031,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0073,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0073,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0074,",,N,0500",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0074,",,N,0500",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0075,",,N,2300",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0075,",,N,2300",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0076,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0076,",,N,0700",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNAA0076,",,N,0700",254
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0085,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0085,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0090,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0090,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0092,",,N,0600",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0092,",,N,0600",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0093,",,N,0750",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0093,",,N,0750",0
2023-01-01T00:00:00,DAPR,GHCND:US1MNAA0100,",,N,1000",2
2023-01-01T00:00:00,MDPR,GHCND:US1MNAA0100,",,N,1000",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0110,",,N,0900",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0110,",,N,0900",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0113,",,N,0900",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0113,",,N,0900",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0116,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0116,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0121,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0121,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0129,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0129,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0130,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0130,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0131,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0131,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAA0140,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0140,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAA0151,",,N,0900",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNAA0151,",,N,0900",229
2023-01-01T00:00:00,WESD,GHCND:US1MNAA0151,",,N,0900",523
2023-01-01T00:00:00,PRCP,GHCND:US1MNAT0004,",,N,1000",8
2023-01-01T00:00:00,SNOW,GHCND:US1MNAT0004,",,N,1000",5
2023-01-01T00:00:00,WESF,GHCND:US1MNAT0004,",,N,1000",8
2023-01-01T00:00:00,PRCP,GHCND:US1MNAT0005,"T,,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNAT0005,",,N,0700",3
2023-01-01T00:00:00,SNOW,GHCND:US1MNAT0008,",,N,0700",25
2023-01-01T00:00:00,SNWD,GHCND:US1MNAT0008,",,N,0700",356
2023-01-01T00:00:00,PRCP,GHCND:US1MNAT0017,",,N,0700",5
2023-01-01T00:00:00,SNOW,GHCND:US1MNAT0017,"T,,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNAT0022,",,N,0700",5
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0006,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0006,",,N,0700",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNBK0006,",,N,0700",406
2023-01-01T00:00:00,WESF,GHCND:US1MNBK0006,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0010,",,N,0730",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0010,",,N,0730",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNBK0010,",,N,0730",292
2023-01-01T00:00:00,WESF,GHCND:US1MNBK0010,",,N,0730",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0015,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0015,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0016,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0016,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0025,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0025,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBK0028,",,N,1000",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBK0028,",,N,1000",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBM0011,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBM0011,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBM0012,"T,,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBM0012,"T,,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBM0014,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBM0014,",,N,0800",0
2023-01-01T00:00:00,WESF,GHCND:US1MNBM0014,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBM0015,"T,,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBM0015,"T,,N,0700",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNBM0015,",,N,0700",305
2023-01-01T00:00:00,WESF,GHCND:US1MNBM0015,"T,,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBM0021,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBM0021,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBN0006,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBN0006,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBN0012,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBN0012,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBU0023,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBU0023,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBU0031,",,N,0600",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBU0031,",,N,0600",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBU0036,",,N,0600",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBU0036,",,N,0600",0
2023-01-01T00:00:00,DAPR,GHCND:US1MNBU0047,",,N,0700",2
2023-01-01T00:00:00,MDPR,GHCND:US1MNBU0047,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBU0049,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBU0049,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBU0055,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBU0055,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBW0001,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBW0001,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBW0002,",,N,0500",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBW0002,",,N,0500",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBW0008,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBW0008,",,N,0800",0
2023-01-01T00:00:00,SNWD,GHCND:US1MNBW0008,",,N,0800",165
2023-01-01T00:00:00,WESF,GHCND:US1MNBW0008,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBW0011,",,N,0800",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNBW0011,",,N,0800",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNBW0020,"T,,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNCG0001,"T,,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNCG0001,",,N,0700",0
2023-01-01T00:00:00,PRCP,GHCND:US1MNCG0007,",,N,0700",0
2023-01-01T00:00:00,SNOW,GHCND:US1MNCG0007,",,N,0700",0
