elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
276.5,1916-08-01,2015-11-01,47.2991,"ADA, MN US",0.9497,COOP:210018,METERS,-96.5161
348.1,1961-08-01,2015-11-01,48.3005,"AGASSIZ REFUGE, MN US",0.9295,COOP:210050,METERS,-95.9816
370.3,1948-08-01,2015-11-01,46.5257,"AITKIN 2 E, MN US",0.8973,COOP:210059,METERS,-93.6674
374.9,1931-01-01,2015-11-01,43.6064,"ALBERT LEA 3 SE, MN US",0.9922,COOP:210075,METERS,-93.3019
374.9,1948-08-01,2003-09-01,43.66667,"ALBERT LEA 3 E, MN US",0.7145,COOP:210080,METERS,-93.3
402.9,1948-08-01,1952-12-01,46.96667,"ALBORN, MN US",0.5469,COOP:210096,METERS,-92.58333
431.3,1931-01-01,1947-12-01,45.87833,"ALEXANDRIA, MN US",1,COOP:210110,METERS,-95.38287
432.8,1940-05-01,2015-11-01,45.86801,"ALEXANDRIA CHANDLER FIELD, MN US",0.9493,COOP:210112,METERS,-95.39399
426.7,1971-09-01,2014-01-01,45.8966,"ALEXANDRIA WATER TREATMENT PLANT, MN US",0.0259,COOP:210116,METERS,-95.3657
454.2,1948-08-01,1952-10-01,47.53333,"ALLEN JUNCTION, MN US",0.49,COOP:210128,METERS,-92.11667
263.7,2003-08-01,2015-11-01,44.0634,"ALTURA 5 W, MN US",0.9932,COOP:210146,METERS,-92.0398
313.9,1948-08-01,2015-11-01,43.8835,"AMBOY, MN US",0.3824,COOP:210157,METERS,-94.1665
274,2007-06-01,2015-11-01,45.2534,"ANDOVER 1 N, MN US",0.9901,COOP:210190,METERS,-93.2927
264.9,1931-01-01,1975-12-01,48.1,"ANGUS 1 N, MN US",0.9611,COOP:210195,METERS,-96.7
258.2,1931-01-01,2015-11-01,48.3311,"ARGYLE, MN US",0.9686,COOP:210252,METERS,-96.8252
334.7,1931-01-01,2015-11-01,45.38564,"ARTICHOKE LAKE 1 E, MN US",0.9922,COOP:210287,METERS,-96.12578
365.5,1937-04-01,2015-11-01,43.6542,"AUSTIN WASTE WATER TREATMENT FACILITY, MN US",0.9757,COOP:210355,METERS,-92.9739
451.4,1999-06-01,2014-12-01,47.7121,"BABBITT, MN US",0.9784,COOP:210387,METERS,-91.9533
492.3,1931-01-01,1986-07-01,47.68333,"BABBITT 2 SE, MN US",0.9671,COOP:210390,METERS,-91.91667
333.5,1931-01-01,2009-12-01,48.7095,"BAUDETTE, MN US",0.9451,COOP:210515,METERS,-94.5853
359.7,1963-09-01,1990-02-01,48.41667,"BAUDETTE 21 SSE, MN US",0.89,COOP:210520,METERS,-94.56667
331.9,1931-01-01,1973-06-01,45.55,"BEARDSLEY, MN US",0.9805,COOP:210541,METERS,-96.71667
220.1,1948-08-01,1989-09-01,44.15,"BEAVER, MN US",0.9373,COOP:210559,METERS,-92.01667
192,2005-03-01,2014-12-01,47.20028,"BEAVER BAY 5 SW, MN US",0.9742,COOP:210564,METERS,-91.36722
414.5,1896-02-01,2015-11-01,47.5353,"BEMIDJI, MN US",0.788,COOP:210643,METERS,-94.8268
313.9,1952-09-01,2015-11-01,45.3167,"BENSON, MN US",0.9895,COOP:210667,METERS,-95.6166
371.9,1931-01-01,2015-11-01,48.1969,"BIG FALLS, MN US",0.9568,COOP:210746,METERS,-93.7994
430.1,1948-08-01,1981-07-01,47.7,"BIGFORK 5 ESE, MN US",0.564,COOP:210754,METERS,-93.55
331.9,1931-01-01,1976-06-01,44.76667,"BIRD ISLAND, MN US",0.9854,COOP:210783,METERS,-94.9
427,1948-08-01,1953-07-01,47.71667,"BLACKDDCK RANGER STATION, MN US",0.9835,COOP:210803,METERS,-94.56667
408.4,1989-11-01,2015-11-01,47.6713,"BLACKDUCK, MN US",0.8116,COOP:210809,METERS,-94.5175
328.9,1948-08-01,1985-12-01,45.86667,"BLANCHARD POWER STATION, MN US",0.9732,COOP:210826,METERS,-94.35
324.6,1948-08-01,2009-08-01,43.6453,"BLUE EARTH, MN US",0.9687,COOP:210852,METERS,-94.0937
335.3,2009-10-01,2015-11-01,43.6237,"BLUE EARTH 1 S, MN US",1,COOP:210855,METERS,-94.0947
371.9,1931-01-01,1955-04-01,46.36667,"BRAINERD, MN US",1,COOP:210934,METERS,-94.18333
359.7,1948-08-01,2015-11-01,46.3433,"BRAINERD, MN US",0.9864,COOP:210939,METERS,-94.2086
292.6,2000-01-01,2011-09-01,46.268,"BRECKENRIDGE, MN US",0.8712,COOP:210973,METERS,-96.5913
